school,homepage,name,areas
George Washington University,https://www.seas.gwu.edu/~mtdiab/,Mona T. Diab,"[""nlp""]"
Stanford University,http://bejerano.stanford.edu/pi.html,Gill Bejerano,"[""bio"",""mlmining""]"
University of South Florida,http://www.cse.usf.edu/~sarkar,Sudeep Sarkar,"[""robotics"",""vision""]"
University of Pittsburgh,https://people.cs.pitt.edu/~melhem/,Rami G. Melhem,"[""hpc"",""metrics"",""arch"",""comm"",""da""]"
University of Massachusetts - Lowell,https://jeapostrophe.github.io/home/,Jay A. McCarthy,"[""ir"",""plan""]"
Australian National University,https://cecs.anu.edu.au/people/ramesh-sankaranarayana,Ramesh S. Sankaranarayana,
Hebrew University of Jerusalem,http://www.cs.huji.ac.il/~yuvalko/,Yuval Kochman,
University of Waikato,http://www.cms.waikato.ac.nz/people/vkumar,Vimal Kumar 0001,
CUNY,http://userhome.brooklyn.cuny.edu/ohadjiliadis/,Olympia Hadjiliadis,
University of California - Santa Barbara,http://www.cs.ucsb.edu/~chris/,Christopher Krügel,"[""ir"",""sec""]"
Imperial College London,http://www.imperial.ac.uk/people/n.jennings,Nicholas R. Jennings,"[""ai"",""chi"",""robotics"",""ir""]"
Texas A&M University,http://faculty.cse.tamu.edu/dilma/,Dilma M. Da Silva,
University of Toronto,http://www.cs.toronto.edu/~jm/,John Mylopoulos,"[""ai"",""soft""]"
University of Otago,http://www.cs.otago.ac.nz/homepages/andrew/,Andrew Trotman,
Carnegie Mellon University,http://www.cs.cmu.edu/~awm/,Andrew W. Moore 0001,"[""ai"",""ir"",""mlmining""]"
University of Edinburgh,http://www.cse.uconn.edu/~akiayias/Home_of_Aggelos_Kiayias/Home_of_Aggelos_Kiayias.html,Aggelos Kiayias,"[""crypt"",""sec""]"
University of Delaware,https://www.eecis.udel.edu/~amer/,Paul Amer,
University of Minnesota,http://www-users.cs.umn.edu/~tripathi/,Anand Tripathi,
University of South Florida,null,Rafael Perez,
University of Texas - Austin,http://www.scottaaronson.com/blog/?p=2620,Scott Aaronson,"[""hpc"",""act""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~ehn/,Eric Nyberg,"[""nlp"",""ir"",""mod""]"
EPFL,http://theory.epfl.ch/vishnoi/Home.html,Nisheeth K. Vishnoi,"[""vision"",""act""]"
University of Colorado Boulder,https://www.colorado.edu/cs/users/mhammer,Matthew Hammer,
Brigham Young University,http://www.google.com/search?q=William%20A.%20Barrett%20Brigham%20Young%20University&btnI,William A. Barrett,"[""graph"",""vision""]"
University of Kentucky,https://www.cs.uky.edu/~marek/,V. Wiktor Marek,
University of Toronto,http://www.cs.toronto.edu/~anikolov/,Aleksandar Nikolov,"[""act"",""mod""]"
DIKU,http://www.google.com/search?q=Naja%20L.%20Holten%20M%C3%B8ller%20DIKU&btnI,Naja L. Holten Møller,
University of Tennessee,http://www.eecs.utk.edu/people/faculty/jhollema/,Jeremy Holleman,
University of Salerno,http://www.di.unisa.it/~lg/,Luisa Gargano,
Stanford University,https://graphics.stanford.edu/~hanrahan/,Patrick M. Hanrahan,
University of Queensland,http://staff.itee.uq.edu.au/xue/,Xue Li,"[""hpc"",""chi"",""arch"",""vision""]"
UNSW,http://www.cse.unsw.edu.au/~salilk/,Salil Kanhere,
University of California - Riverside,http://www.cs.ucr.edu/~zhijia/,Zhijia Zhao,"[""arch""]"
University of Alberta,https://webdocs.cs.ualberta.ca/~dale/,Dale Schuurmans,"[""ai"",""nlp"",""vision"",""mlmining""]"
University of Miami,http://www.google.com/search?q=Thomas%20LeBlanc%20University%20of%20Miami&btnI,Thomas LeBlanc,
University of Minnesota,http://cbs.umn.edu/contacts/claudia-neuhauser,Claudia Neuhauser,
University of Salerno,http://mivia.unisa.it/people/vento/,Mario Vento,"[""ai""]"
University of Canterbury,http://www.cosc.canterbury.ac.nz/mukundan/,Ramakrishnan Mukundan,
Georgetown University,http://people.cs.georgetown.edu/~kalyan/,Bala Kalyanasundaram,
Vanderbilt University,http://www.vuse.vanderbilt.edu/~robinswh/,William Robinson,
Stony Brook University,http://www3.cs.stonybrook.edu/~rzhao/,Rong Zhao,
EPFL,http://people.inf.ethz.ch/jaggim/,Martin Jaggi,"[""mlmining""]"
University of Georgia,http://cobweb.cs.uga.edu/~jam/,John A. Miller,
Michigan State University,http://www.cse.msu.edu/~kjl/,Kevin Liu,"[""bio""]"
University of Auckland,http://www.google.com/search?q=Damir%20Azhar%20University%20of%20Auckland&btnI,Damir Azhar,
University of Colorado Boulder,http://ngn.cs.colorado.edu/~sangtaeha/,Sangtae Ha,"[""metrics"",""chi"",""comm"",""ops""]"
Michigan State University,http://www.cse.msu.edu/~esfahani/,Abdol-Hossein Esfahanian,"[""mlmining""]"
Kansas State University,http://people.cs.ksu.edu/~dcaragea/,Doina Caragea,"[""mlmining""]"
Rutgers University,http://www.cs.rutgers.edu/~zz124/research.html,Eddy Z. Zhang,"[""hpc"",""arch""]"
Rochester Institute of Technology,https://www.cs.rit.edu/~spr/homepage.html,Stanislaw P. Radziszowski,
Australian National University,https://cecs.anu.edu.au/people/pheng-phang,Pheng Phang,
UNSW,http://www.google.com/search?q=Oliver%20Diessel%20UNSW&btnI,Oliver Diessel,
University of California - Santa Barbara,https://cse.cs.ucsb.edu/,Linda R. Petzold,"[""soft""]"
George Washington University,https://www.seas.gwu.edu/~ayoussef/,Abdou Youssef,
George Mason University,http://www.baldimtsi.com/,Foteini Baldimtsi,"[""sec""]"
Texas A&M University,https://engineering.tamu.edu/cse/people/jliu,Jyh-Charn Liu,"[""comm""]"
University College London,http://www0.cs.ucl.ac.uk/people/L.Agapito.html,Lourdes Agapito,"[""robotics"",""vision""]"
Ohio State University,http://web.cse.ohio-state.edu/~jwdavis/,Jim Davis,
Monash University,http://monash.edu/research/explore/en/persons/peter-odonnell(fd8e96a0-71ce-4f7b-911f-7c764eeedb2d).html,Peter O'Donnell,
University of Michigan,https://web.eecs.umich.edu/~kevinfu/,Kevin Fu,"[""ops"",""mobile"",""da"",""sec"",""comm"",""arch""]"
Brigham Young University,http://axon.cs.byu.edu/~martinez/,Tony R. Martinez,"[""mlmining""]"
Carnegie Mellon University,https://www.hcii.cmu.edu/people/amy-ogan,Amy Ogan,"[""chi""]"
University of Queensland,http://researchers.uq.edu.au/researcher/646,Ben Matthews,
Drexel University,http://drexel.edu/cci/contact/Faculty/Blake-MBrian/,M. Brian Blake,
University of Waterloo,https://cs.uwaterloo.ca/~jhoey/,Jesse Hoey,"[""nlp"",""mlmining"",""ai"",""chi"",""robotics"",""vision""]"
University of Waterloo,http://www.cgl.uwaterloo.ca/csk/,Craig S. Kaplan,"[""graph"",""chi""]"
Brigham Young University,http://www.google.com/search?q=Quinn%20Snell%20Brigham%20Young%20University&btnI,Quinn Snell,"[""hpc""]"
Massachusetts Institute of Technology,http://people.csail.mit.edu/dina/,Dina Katabi,"[""ops"",""mobile"",""graph"",""robotics"",""metrics"",""comm"",""act"",""sec"",""chi""]"
University of Tennessee,http://www.google.com/search?q=Benjamin%20J.%20Blalock%20University%20of%20Tennessee&btnI,Benjamin J. Blalock,
University of Auckland,https://unidirectory.auckland.ac.nz/profile/slin498,Simone Linz,
University of Michigan,https://april.eecs.umich.edu/people/ebolson/,Edwin Olson,"[""robotics""]"
TU Dresden,https://lat.inf.tu-dresden.de/~baader/,Franz Baader,"[""ai""]"
University of Texas - Dallas,https://www.utdallas.edu/~zxl111930/,Zhiqiang Lin,"[""arch"",""sec"",""soft"",""ops""]"
New York University,http://cs.nyu.edu/~pcousot/,Patrick Cousot,"[""plan"",""log""]"
Monash University,http://monash.edu/research/explore/en/persons/kerri-morgan(62727ef9-6bfc-4a09-9d9c-b91b69d8b6bb).html,Kerri Morgan,
Carnegie Mellon University,http://www.cs.cmu.edu/~./hebert/,Martial Hebert,"[""ai"",""graph"",""robotics"",""vision"",""mlmining""]"
Rochester Institute of Technology,http://ist.rit.edu/~spm/,Sharon Mason,
Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/IanWelch,Ian S. Welch,
Carnegie Mellon University,http://www.cs.cmu.edu/~cjl/,Christopher James Langmead,"[""bio"",""mlmining""]"
Imperial College London,http://www.imperial.ac.uk/people/y.guo,Yike Guo,"[""hpc"",""mlmining""]"
University of Buffalo,http://www.cse.buffalo.edu/~kdantu/,Karthik Dantu,"[""mobile"",""robotics"",""da""]"
University of Buffalo,https://www.cse.buffalo.edu/~chomicki/,Jan Chomicki,"[""ai"",""mod""]"
University of North Carolina,http://cs.unc.edu/people/vladimir-jojic/,Vladimir Jojic,"[""bio"",""vision"",""mlmining""]"
University of Otago,http://www.cs.otago.ac.nz/staff/Lech_Szymanski,Lech Szymanski,
Northwestern University,http://ccl.northwestern.edu/uri/,Uri Wilensky,
UNSW,http://www.cse.unsw.edu.au/~blair/,Alan D. Blair,"[""robotics""]"
University of Toronto,http://www.cs.toronto.edu/~faith/,Faith Fich,
Clemson University,http://www.google.com/search?q=Eric%20Patterson%20Clemson%20University&btnI,Eric Patterson,
Georgia Institute of Technology,http://www.cc.gatech.edu/~aboldyre/,Alexandra Boldyreva,"[""arch"",""sec"",""crypt""]"
Ecole Normale Superieure de Lyon,http://avalon.ens-lyon.fr/members/hcoullon,Hélène Coullon,
Pennsylvania State University,http://bio.psu.edu/directory/wcm2,Webb C. Miller,
Concordia University,https://www.concordia.ca/research/cenparmi/faculty.html?fpid=ching-yee-suen,Ching Yee Suen,
Stanford University,https://theory.stanford.edu/~aiken/,Alexander Aiken,"[""mlmining"",""soft"",""plan"",""mod""]"
Massachusetts Institute of Technology,http://www.mit.edu/~ypol/,Yury Polyanskiy,
University of California - San Diego,http://www.sdsc.edu/~skarin/,Sidney Karin,
University of Toronto,http://www.cs.toronto.edu/~reid/,Karen L. Reid,
University of California - Berkeley,https://www.eecs.berkeley.edu/Faculty/Homepages/joseph.html,Anthony D. Joseph,"[""metrics"",""mlmining"",""ops"",""comm"",""mod""]"
Georgia Institute of Technology,http://www.cc.gatech.edu/~beki/Beki.html,Beki Grinter,
University of Nevada,https://www.cse.unr.edu/~monica/,Monica N. Nicolescu,"[""robotics""]"
University of Colorado Boulder,https://www.colorado.edu/cs/users/jessup,Elizabeth R. Jessup,"[""hpc""]"
North Carolina State University,https://www.csc.ncsu.edu/people/djthuent,David J. Thuente,
Carnegie Mellon University,http://www.cs.cmu.edu/~bryant/,Randal E. Bryant,"[""log"",""ops"",""ai"",""da"",""sec"",""soft""]"
Massey University,http://www.massey.ac.nz/massey/expertise/profile.cfm?stref=202330,Aruna Shekar,
Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~trink/,Jeff Trinkle,"[""robotics""]"
Oregon State University,http://eecs.oregonstate.edu/people/termehchy-arash,Arash Termehchy,"[""mod""]"
Cornell University,http://www.cs.cornell.edu/home/llee/,Lillian Lee,"[""nlp"",""ir"",""mlmining""]"
Technion - Israel Institute of Technology,http://www.cs.technion.ac.il/~eyalk/,Eyal Kushilevitz,"[""hpc"",""crypt"",""act""]"
New York University,https://cs.nyu.edu/~barrett/,Clark W. Barrett,"[""log""]"
Georgia Institute of Technology,http://www.cc.gatech.edu/home/dellaert/,Frank Dellaert,"[""ai"",""robotics"",""vision"",""mlmining""]"
University of Sydney,https://sydney.edu.au/engineering/it/~fekete/,Alan Fekete,"[""ops"",""mod""]"
Stanford University,http://stanford.edu/~skatti/,Sachin Rajsekhar Katti,"[""comm""]"
Polytechnic University of Catalonia,http://www.google.com/search?q=Jordi%20Torres%20Polytechnic%20University%20of%20Catalonia&btnI,Jordi Torres,"[""hpc"",""ops""]"
University of Texas - Austin,http://pages.cs.wisc.edu/~vijayc/,Vijay Chidambaram,"[""comm"",""ops""]"
University of Oxford,https://www.cs.ox.ac.uk/people/phil.blunsom/,Phil Blunsom,"[""nlp"",""mlmining""]"
University of Waikato,http://www.cms.waikato.ac.nz/people/tcs,Tony Smith,
Georgetown University,http://people.cs.georgetown.edu/~wzhou/,Wenchao Zhou,"[""sec"",""ops"",""comm"",""mod""]"
North Carolina State University,https://www.csc.ncsu.edu/faculty/healey/,Christopher G. Healey,"[""ai"",""graph""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~deva/,Deva Ramanan,"[""vision"",""mlmining""]"
University of Texas - Dallas,https://www.utdallas.edu/~chandra/,Ramaswamy Chandrasekaran,
Northeastern University,http://web.cs.ucla.edu/~yzsun/,Yizhou Sun,"[""ai"",""nlp"",""ir"",""mlmining"",""mod""]"
University of Central Florida,http://www.cs.ucf.edu/~kstanley/,Kenneth O. Stanley,"[""ai"",""robotics""]"
CUNY,http://www.google.com/search?q=Abbe%20Mowshowitz%20CUNY&btnI,Abbe Mowshowitz,
Carnegie Mellon University,http://www.cs.cmu.edu/~listen/mostow-vita-7-7-99.htm,David J. Mostow,
Indiana University,http://wphomes.soic.indiana.edu/connelly/,Kay Connelly,"[""chi""]"
TU Darmstadt,https://www.cdc.informatik.tu-darmstadt.de/de/cdc/personen/johannes-buchmann/,Johannes A. Buchmann,
University of Michigan,http://web.eecs.umich.edu/~jag/,H. V. Jagadish,"[""ai"",""nlp"",""mlmining"",""ir"",""mod""]"
University of California - Santa Barbara,http://www.cs.ucsb.edu/~yfwang/,Yuan-Fang Wang,"[""vision"",""mod""]"
Simon Fraser University,http://www.cs.sfu.ca/~li,Ze-Nian Li,"[""ai"",""vision""]"
Massachusetts Institute of Technology,http://people.csail.mit.edu/wojciech/,Wojciech Matusik,"[""graph"",""vision"",""chi""]"
University of Massachusetts - Lowell,https://www.uml.edu/Sciences/computer-science/faculty/Cao-Yu.aspx,Yu Cao,"[""mlmining"",""da"",""soft"",""vision"",""mod""]"
Tel Aviv University,http://www.cs.tau.ac.il/~haimk/,Haim Kaplan,"[""metrics"",""act"",""comm"",""mod""]"
Ecole Normale Superieure de Lyon,https://en.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_de_Lyon,Lionel Robert Morel,
CUNY,http://www.google.com/search?q=Douglas%20Troeger%20CUNY&btnI,Douglas Troeger,
Polytechnic University of Catalonia,https://www.researchgate.net/profile/Beatriz_Otero,Beatriz Otero,
University of Waterloo,https://cs.uwaterloo.ca/~sgorbuno/,Sergey Gorbunov,"[""crypt"",""act""]"
CUNY,http://qcpages.qc.cuny.edu/~rmiller/,Russell Miller,
Florida State University,https://www.cs.fsu.edu/~shaiduc/,Sonia Haiduc,"[""soft""]"
Cornell University,http://www.cs.cornell.edu/gomes/,Carla P. Gomes,"[""ai"",""mlmining""]"
University of Massachusetts - Amherst,http://rbr.cs.umass.edu/shlomo/,Shlomo Zilberstein,"[""ai"",""soft"",""mlmining""]"
DIKU,http://diku.dk/Ansatte/?pure=da/persons/147590,Mikkel Rønne Jakobsen,"[""chi""]"
University of Arizona,http://www.cs.arizona.edu/people/alon/,Alon Efrat,"[""bio"",""robotics"",""comm"",""act"",""mod""]"
Australian National University,https://cecs.anu.edu.au/people/mahesh-venkataraman,Mahesh Venkataraman,
Washington State University,http://school.eecs.wsu.edu/faculty/dheo,Deuk Heo,
University of California - Riverside,http://www.cs.ucr.edu/~mart/,Mart L. Molle,
OHSU,http://www.google.com/search?q=Peter%20A.%20Heeman%20OHSU&btnI,Peter A. Heeman,"[""nlp""]"
Stanford University,http://robotics.stanford.edu/~jks/,Kenneth Salisbury,"[""robotics"",""vision""]"
University of Michigan,http://web.eecs.umich.edu/~baveja/,Satinder P. Singh,"[""ai"",""mlmining""]"
Technion - Israel Institute of Technology,http://assaf.net.technion.ac.il/,Assaf Schuster,"[""log"",""mlmining"",""ops"",""comm"",""hpc"",""arch"",""mod""]"
Boston University,https://www.cs.bu.edu/~reyzin/,Leonid Reyzin,"[""comm"",""crypt"",""act"",""sec"",""mod""]"
University of Auckland,https://www.cs.auckland.ac.nz/people/g-dobbie,Gill Dobbie,
University of Queensland,http://staff.itee.uq.edu.au/huang/,Zi Huang,"[""ai"",""vision"",""mod""]"
University of California - Davis,http://www.cs.ucdavis.edu/~davidson,Ian Davidson,"[""ai"",""mlmining""]"
Carnegie Mellon University,http://www.cs.cmu.edu/~guyb/,Guy E. Blelloch,"[""hpc"",""bio"",""act"",""plan"",""ops""]"
George Mason University,https://cs.gmu.edu/~zduric/,Zoran Duric,"[""vision""]"
University College London,http://www0.cs.ucl.ac.uk/people/S.Srinivasan.html,Srini Srinivasan,
Polytechnic University of Catalonia,https://www.researchgate.net/profile/Ramon_Canal,Ramon Canal,"[""hpc"",""arch""]"
Australian National University,http://users.cecs.anu.edu.au/~steveb,Steve Blackburn,
University of California - Irvine,http://www.ics.uci.edu/~gts/,Gene Tsudik,"[""chi"",""da"",""comm"",""crypt"",""sec"",""mod""]"
Rutgers University,https://www.cs.rutgers.edu/~iftode/,Liviu Iftode,"[""mobile"",""chi"",""ir"",""sec"",""plan"",""hpc"",""soft""]"
University of Michigan,http://wslasecki.com/,Walter Stephen Lasecki,"[""ai""]"
University of Illinois at Urbana-Champaign,http://web.engr.illinois.edu/~cgunter/,Carl A. Gunter,"[""comm"",""ir"",""sec"",""plan""]"
Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/gfp.html,Gary F. Pollice,
Australian National University,https://cs.anu.edu.au/people/ben-swift,Ben Swift,"[""chi""]"
University of Auckland,https://www.cs.auckland.ac.nz/~burkhard/,Burkhard Wuensche,
Virginia Tech,http://www.cs.vt.edu/~murali/,T. M. Murali,"[""bio"",""act"",""mod""]"
University of Kent,https://www.cs.kent.ac.uk/people/staff/pr254/,Ramaswamy Palaniappan,
Boston University,http://www.cs.bu.edu/~matta/,Ibrahim Matta,"[""comm""]"
Georgia Institute of Technology,http://www.cc.gatech.edu/home/guzdial/,Mark Guzdial,"[""chi""]"
Stanford University,https://en.wikipedia.org/wiki/John_L._Hennessy,John L. Hennessy,"[""metrics""]"
Carnegie Mellon University,https://www.cs.cmu.edu/~dga/,David G. Andersen,"[""ops"",""mobile"",""mlmining"",""metrics"",""comm"",""sec"",""arch"",""mod""]"
University of Nevada,http://eelke.com/,Eelke Folmer,"[""chi"",""robotics""]"
Virginia Tech,http://www.cs.vt.edu/~edwards/,Stephen H. Edwards,
University of Tennessee,http://www.google.com/search?q=Mongi%20A.%20Abidi%20University%20of%20Tennessee&btnI,Mongi A. Abidi,"[""robotics"",""vision""]"
University of Auckland,https://www.cs.auckland.ac.nz/people/b-plimmer,Beryl Plimmer,"[""chi"",""soft""]"
University of Illinois at Urbana-Champaign,https://cs.illinois.edu/directory/profile/mrebl,Gerald DeJong,"[""plan"",""vision"",""mlmining""]"
University of Oxford,https://www.cs.ox.ac.uk/people/rahul.santhanam/,Rahul Santhanam,"[""hpc"",""mlmining"",""act""]"
University of California - Santa Barbara,http://www.cs.ucsb.edu/~xyan/,Xifeng Yan,"[""bio"",""mlmining"",""ir"",""sec"",""comm"",""soft"",""mod""]"
University of Salerno,http://www.unisa.it/docenti/monicamariasebillo/index,Monica Sebillo,
Rochester Institute of Technology,https://www.rit.edu/gccis/carlos-rivero,Carlos Rivero,
University of California - San Diego,http://cseweb.ucsd.edu/~jmcauley/,Julian John McAuley,"[""ir"",""vision"",""mlmining""]"
University of Queensland,http://www.itee.uq.edu.au/contacts/show.ephp/uqdross,David Andrew Ross,
EPFL,http://lcav.epfl.ch/martin.vetterli,Martin Vetterli,"[""mobile"",""comm"",""da""]"
EPFL,https://people.epfl.ch/alain.wegmann,Alain Wegmann,
University of California - Santa Barbara,https://engineering.ucsb.edu/~fgibou/,Frédéric Gibou,"[""graph""]"
University of Wisconsin - Madison,http://pages.cs.wisc.edu/~bach/bach.html,Eric Bach,"[""comm"",""act""]"
University of Delaware,https://www.eecis.udel.edu/~pollock/,Lori L. Pollock,"[""hpc"",""soft""]"
Cornell University,http://www.cs.cornell.edu/~rafael/,Rafael Pass,"[""hpc"",""ai"",""crypt"",""sec"",""act""]"
University of Queensland,http://staff.itee.uq.edu.au/lovell/,Brian Lovell,
Polytechnic University of Catalonia,https://www.researchgate.net/profile/Roger_Espasa2,Roger Espasa,"[""graph"",""arch""]"
University of Oxford,https://www.cs.ox.ac.uk/people/paul.goldberg/,Paul Goldberg,
UNSW,http://www.cse.unsw.edu.au/~ysui/,Yulei Sui,
Duke University,https://users.cs.duke.edu/~kamesh/,Kamesh Munagala,"[""mobile"",""ir"",""act"",""mod""]"
University of Tartu,http://kodu.ut.ee/~sjafari/,Gholamreza Anbarjafari,
University of Washington,https://homes.cs.washington.edu/~rao/,Rajesh P. N. Rao,"[""ai"",""chi"",""robotics"",""vision"",""mlmining""]"
Johns Hopkins University,http://www.google.com/search?q=Joanne%20F.%20Selinski%20Johns%20Hopkins%20University&btnI,Joanne F. Selinski,
University of Cambridge,http://www.cl.cam.ac.uk/~afb21/,Alan F. Blackwell,"[""chi"",""ir""]"
Imperial College London,https://www.doc.ic.ac.uk/~wl/,Wayne Luk,"[""robotics"",""da""]"
Technion - Israel Institute of Technology,http://ckeren.net.technion.ac.il/,Keren Censor,"[""act""]"
VU Amsterdam,http://www.jacopourbani.it/,Jacopo Urbani,"[""ai"",""hpc""]"
Princeton University,https://www.cs.princeton.edu/~ret/,Robert E. Tarjan,
Oregon State University,http://web.engr.oregonstate.edu/~xfern/,Xiaoli Zhang Fern,"[""mlmining""]"
New York University,http://cs.nyu.edu/cole/,Richard Cole 0001,"[""mlmining"",""vision"",""act""]"
Monash University,http://monash.edu/research/explore/en/persons/steven-wright(40be3258-c026-4e34-a74d-08837c38344b).html,S. J. Wright,
Australian National University,https://cs.anu.edu.au/people/weifa-liang,Weifa Liang,"[""comm""]"
University of Minnesota,http://www-users.cs.umn.edu/~carlis/,John V. Carlis,
University of Virginia,http://www.cs.virginia.edu/~vicente/,Vicente Ordóñez Román,
Pennsylvania State University,http://www.google.com/search?q=Lee%20D.%20Coraor%20Pennsylvania%20State%20University&btnI,Lee D. Coraor,"[""vision""]"
University of Michigan,http://web.eecs.umich.edu/~michjc/,Mike Cafarella,
University of Oxford,http://www.cs.ox.ac.uk/jim.davies/,Jim R. Davies,
Brown University,https://cs.brown.edu/~ec/,Eugene Charniak,"[""ai"",""nlp""]"
University of Oxford,https://en.wikipedia.org/wiki/Nigel_Shadbolt,Nigel Shadbolt,"[""ai"",""chi"",""ir""]"
Dartmouth College,https://math.dartmouth.edu/~pw/,Peter Winkler,"[""comm"",""act""]"
University of California - Davis,http://www.cs.ucdavis.edu/~ma/,Kwan-Liu Ma,"[""hpc"",""graph"",""chi"",""mlmining""]"
University of California - Riverside,http://www.cc.gatech.edu/grads/c/csong43/,Chengyu Song,"[""comm"",""sec"",""ops""]"
North Carolina State University,http://rouskas.csc.ncsu.edu/,George N. Rouskas,"[""metrics"",""hpc"",""comm""]"
Concordia University,http://users.encs.concordia.ca/~pcr/,Peter C. Rigby,"[""soft""]"
Australian National University,https://cecs.anu.edu.au/people/shankar-kalyanasundaram,Shankar Kalyanasundaram,
Columbia University,http://www.cs.columbia.edu/~eitan/,Eitan Grinspun,"[""graph"",""robotics"",""vision""]"
CUNY,https://www.ccny.cuny.edu/profiles/leonid-gurvits,Leonid Gurvits,"[""act""]"
University of Minnesota,http://www-users.cs.umn.edu/~zhzhang/,Zhi-Li Zhang,"[""mobile"",""metrics"",""sec"",""comm"",""mlmining""]"
University of Oregon,https://ix.cs.uoregon.edu/~lowd/,Daniel Lowd,"[""ai"",""mlmining""]"
University of Queensland,http://researchers.uq.edu.au/researcher/823,Neil W. Bergmann,
University of Nevada,http://www.google.com/search?q=Dwight%20D.%20Egbert%20University%20of%20Nevada&btnI,Dwight D. Egbert,
Emory University,http://www.mathcs.emory.edu/faculty-member.php?name=Avani-Wildani,Avani Wildani,
University of Oregon,https://www.cs.uoregon.edu/People/Faculty/Allen_Malony.php,Allen D. Malony,"[""hpc"",""mlmining""]"
Georgia Institute of Technology,http://www.cs.cmu.edu/~agray/,Alexander G. Gray,"[""hpc"",""plan"",""mlmining""]"
RWTH Aachen,http://www-i2.informatik.rwth-aachen.de/i2/eab/,Erika Ábrahám-Mumm,
University of Michigan,http://web.eecs.umich.edu/~tnm/,Trevor N. Mudge,"[""hpc"",""mobile"",""da"",""arch"",""ops""]"
University of Western Australia,http://uwa.edu.au/people/cara.macnish,Cara MacNish,
Victoria University of Wellington,https://ecs.victoria.ac.nz/Main/KarstenLundqvist,Karsten Lundqvist,
Princeton University,https://www.cs.princeton.edu/~bee/,Barbara Engelhardt,"[""ai"",""robotics""]"
University College London,http://www0.cs.ucl.ac.uk/staff/S.Hailes/,Steve Hailes,
University of California - Irvine,http://www.ics.uci.edu/~alexv/,Alexander V. Veidenbaum,"[""hpc"",""arch""]"
Australian National University,https://cecs.anu.edu.au/people/tony-hosking,Antony Hosking,
University of Chicago,https://cs.uchicago.edu/directory/michael-j-odonnell,Michael J. O'Donnell,
Carnegie Mellon University,http://www.cs.cmu.edu/~prs/,Peter Steenkiste,"[""mobile"",""chi"",""hpc"",""comm""]"
Georgia Institute of Technology,http://www.cc.gatech.edu/~ellendo/,Ellen Yi-Luen Do,"[""chi""]"
Ecole Normale Superieure de Lyon,https://perso.ens-lyon.fr/christophe.crespelle/,Christophe Crespelle,
University of Athens,http://www.di.uoa.gr/eng/staff/1028,Filippos Tzaferis,
Victoria University of Wellington,https://ecs.victoria.ac.nz/Main/BingXue,Bing Xue,"[""hpc""]"
UNSW,http://www.cse.unsw.edu.au/~sjha/,Sanjay K. Jha,
UNSW,http://www.google.com/search?q=Alfred%20Krzywicki%20UNSW&btnI,Alfred Krzywicki,
Yale University,http://www.cs.yale.edu/~jf,Joan Feigenbaum,"[""sec"",""act""]"
University of Salerno,http://www.di.unisa.it/~paodar/,Paolo D'Arco,
University of Maryland - College Park,https://www.cs.umd.edu/users/aporter/,Adam A. Porter,"[""soft""]"
University of Pennsylvania,http://www.cis.upenn.edu/~val/home.html,Val Breazu-Tannen,
University of Queensland,http://www.itee.uq.edu.au/bme/pounds,Paul Pounds,
Georgia Institute of Technology,http://www.google.com/search?q=Merrick%20L.%20Furst%20Georgia%20Institute%20of%20Technology&btnI,Merrick L. Furst,
University of California - Santa Barbara,http://www.cs.ucsb.edu/~ckrintz/,Chandra Krintz,"[""mobile"",""arch"",""sec"",""plan""]"
University of Canterbury,http://www.cosc.canterbury.ac.nz/moffat.mathews/,Moffat Mathews,
University of California - San Diego,http://math.ucsd.edu/~fan/,Fan Chung Graham,
University College London,http://www0.cs.ucl.ac.uk/staff/G.Roberts/,Graham Roberts,
University of Central Florida,http://www.cs.ucf.edu/~turgut/,Damla Turgut,
University of Central Florida,http://www.cs.ucf.edu/~ceh/,Charles E. Hughes,"[""ai""]"
UNSW,https://www.cse.unsw.edu.au/~morri/,Maurice Pagnucco,"[""ai""]"
Georgia Institute of Technology,http://sonify.psych.gatech.edu/~walkerb/,Bruce N. Walker,"[""robotics""]"
University of Illinois at Urbana-Champaign,http://pbg.cs.illinois.edu/,Philip Brighten Godfrey,"[""metrics"",""act"",""comm"",""mod""]"
University of Cambridge,http://www.cl.cam.ac.uk/~swm11/,Simon W. Moore,"[""sec"",""arch""]"
Kansas State University,http://people.cis.ksu.edu/~rvprasad,Venkatesh Prasad Ranganath,"[""soft"",""arch""]"
TU Munich,http://www.professoren.tum.de/en/krcmar-helmut/,Helmut Krcmar,
University of Minnesota,http://www-users.cs.umn.edu/~saad/,Yousef Saad,"[""ir"",""mlmining""]"
University of Maryland - College Park,http://www.cs.umd.edu/~amol/,Amol Deshpande,"[""act"",""comm"",""mod""]"
Oregon State University,http://eecs.oregonstate.edu/~burnett,Margaret M. Burnett,"[""ai"",""chi"",""soft""]"
University of Michigan,https://web.eecs.umich.edu/~shiyy/,Yaoyun Shi,"[""act""]"
Texas A&M University,http://faculty.cse.tamu.edu/walker/,D. M. H. Walker,
